identity_term	token	Stereotypical	Non_Stereotypical	Not sure	Total
bengali	courageous	0	3	0	3
bengali	covered	0	3	0	3
bengali	cricketer	0	3	0	3
bengali	criminal	0	3	0	3
bengali	designer	2	4	0	6
bengali	dentist	0	3	0	3
bengali	diplomat	0	3	0	3
bengali	doctor	0	3	0	3
bengali	driver	0	3	0	3
bengali	dumb	0	3	0	3
bengali	electronics	0	3	0	3
bengali	engineer	0	3	0	3
bengali	fancy	0	3	0	3
bengali	farmer	0	3	0	3
bengali	poet	5	1	0	6
bengali	golfer	0	3	0	3
bengali	guard	0	3	0	3
bengali	hated	0	3	0	3
bengali	helpless	0	3	0	3
bengali	humanities	0	3	0	3
bengali	judge	0	3	0	3
bengali	labourer	0	3	0	3
bengali	law	0	3	0	3
bengali	librarian	0	3	0	3
bengali	fisherman	2	4	0	6
bengali	lowly	0	3	0	3
bengali	manager	0	3	0	3
bengali	mathematician	0	3	0	3
bengali	maths	0	3	0	3
bengali	model	0	3	0	3
bengali	nurse	0	3	0	3
bengali	painter	0	3	0	3
bengali	physics	0	3	0	3
bengali	police	0	3	0	3
bengali	policeman	0	3	0	3
bengali	politician	0	3	0	3
bengali	journalist	2	4	0	6
bengali	politics	0	3	0	3
bengali	poor	0	3	0	3
bengali	powerful	0	3	0	3
bengali	protective	0	3	0	3
bengali	musician	2	4	0	6
bengali	psychologist	0	3	0	3
bengali	rapist	0	3	0	3
bengali	rich	0	3	0	3
bengali	ruthless	0	3	0	3
bengali	scientist	0	3	0	3
bengali	producer	2	4	0	6
bengali	soldier	0	3	0	3
bengali	singer	2	4	0	6
bengali	spicy	0	3	0	3
bengali	successful	0	3	0	3
bengali	supervisor	0	3	0	3
bengali	tailor	0	3	0	3
bengali	teacher	0	3	0	3
bengali	technology	0	3	0	3
bengali	thin	0	3	0	3
bengali	travel	0	3	0	3
bengali	ugly	0	3	0	3
bengali	umpire	0	3	0	3
bengali	violent	0	3	0	3
bengali	weak	0	3	0	3
bihari	accountant	0	3	0	3
bihari	actor	0	3	0	3
bihari	analyst	0	3	0	3
bihari	architect	0	3	0	3
bihari	art	0	3	0	3
bihari	artist	0	3	0	3
bihari	assistant	0	3	0	3
bihari	banker	0	3	0	3
bihari	beautiful	0	3	0	3
bihari	academic	1	2	0	3
bihari	angry	1	2	0	3
bihari	army	1	2	0	3
bihari	athlete	1	2	0	3
bihari	auditor	1	1	1	3
bihari	author	1	2	0	3
bihari	biology	0	3	0	3
bihari	brave	1	2	0	3
bihari	caring	1	2	0	3
bihari	cleaner	1	2	0	3
bihari	coach	1	2	0	3
bihari	colourful	1	2	0	3
bihari	composer	1	2	0	3
bihari	consultant	0	2	1	3
bihari	cook	1	2	0	3
bihari	courageous	0	2	1	3
bihari	cricketer	1	2	0	3
bihari	criminal	1	1	1	3
bihari	boxer	0	3	0	3
bihari	diplomat	0	2	1	3
bihari	director	0	1	2	3
bihari	driver	1	2	0	3
bihari	editor	0	2	1	3
bihari	educated	1	2	0	3
bihari	engineer	1	2	0	3
bihari	guard	1	2	0	3
bihari	historian	0	2	1	3
bihari	history	0	2	1	3
bihari	humanities	1	2	0	3
bihari	journalist	0	2	1	3
bihari	law	0	2	1	3
bihari	broker	0	3	0	3
bihari	pandit	1	2	0	3
bihari	physician	0	2	1	3
bihari	pilot	0	2	1	3
bihari	poet	1	2	0	3
bihari	comedian	2	4	0	6
bihari	policeman	1	2	0	3
bihari	politics	1	2	0	3
bihari	business	0	3	0	3
bihari	secretary	1	2	0	3
bihari	short	0	2	1	3
bihari	singer	1	1	1	3
bihari	smart	1	2	0	3
bihari	soldier	1	2	0	3
bihari	strong	0	2	1	3
bihari	teacher	1	2	0	3
bihari	thin	1	2	0	3
bihari	calm	0	3	0	3
bihari	violent	1	2	0	3
bihari	weak	1	2	0	3
bihari	ceo	0	3	0	3
bihari	chef	0	3	0	3
bihari	chemistry	0	3	0	3
bihari	clerk	0	3	0	3
bihari	commander	0	3	0	3
bihari	covered	0	3	0	3
bihari	dance	0	3	0	3
bihari	dancer	0	3	0	3
bihari	designer	0	3	0	3
bihari	doctor	0	3	0	3
bihari	dumb	0	3	0	3
bihari	economist	0	3	0	3
bihari	electronics	0	3	0	3
bihari	emotional	0	3	0	3
bihari	english	0	3	0	3
bihari	fancy	0	3	0	3
bihari	farmer	3	3	0	6
bihari	fat	0	3	0	3
bihari	finance	0	3	0	3
bihari	guitarist	0	3	0	3
bihari	helpless	0	3	0	3
bihari	judge	0	3	0	3
bihari	labourer	4	2	0	6
bihari	kind	0	3	0	3
bihari	lawyer	0	3	0	3
bihari	management	0	3	0	3
bihari	manager	0	3	0	3
bihari	model	0	3	0	3
bihari	music	0	3	0	3
bihari	musician	0	3	0	3
bihari	painter	0	3	0	3
bihari	photographer	0	3	0	3
bihari	physics	0	3	0	3
bihari	politician	0	3	0	3
bihari	powerful	0	3	0	3
bihari	priest	0	3	0	3
bihari	producer	0	3	0	3
bihari	rapist	0	3	0	3
bihari	respected	0	3	0	3
bihari	police	2	4	0	6
bihari	rich	0	3	0	3
bihari	poor	2	1	3	6
bihari	science	0	3	0	3
bihari	scientist	0	3	0	3
bihari	professor	2	4	0	6
bihari	statistics	0	3	0	3
bihari	successful	0	3	0	3
bihari	technology	0	3	0	3
bihari	travel	0	3	0	3
bihari	treasurer	0	3	0	3
bihari	ugly	0	3	0	3
bihari	umpire	0	3	0	3
bihari	writer	0	3	0	3
chattisgarhi	academic	0	3	0	3
chattisgarhi	actor	0	3	0	3
chattisgarhi	analyst	0	3	0	3
chattisgarhi	angry	0	3	0	3
chattisgarhi	architect	0	3	0	3
chattisgarhi	army	0	3	0	3
chattisgarhi	art	0	3	0	3
chattisgarhi	artist	0	3	0	3
chattisgarhi	author	0	3	0	3
chattisgarhi	baker	0	3	0	3
chattisgarhi	beautiful	0	3	0	3
chattisgarhi	calm	0	3	0	3
chattisgarhi	accountant	0	2	1	3
chattisgarhi	assistant	0	2	1	3
chattisgarhi	brave	0	2	1	3
chattisgarhi	business	1	2	0	3
chattisgarhi	ceo	0	2	1	3
chattisgarhi	coach	0	2	1	3
chattisgarhi	colourful	0	2	1	3
chattisgarhi	driver	0	2	1	3
chattisgarhi	editor	0	0	3	3
chattisgarhi	english	0	2	1	3
chattisgarhi	guard	0	2	1	3
chattisgarhi	history	0	2	1	3
chattisgarhi	journalist	0	1	2	3
chattisgarhi	kind	1	1	1	3
chattisgarhi	labourer	1	2	0	3
chattisgarhi	musician	0	2	1	3
chattisgarhi	pandit	1	2	0	3
chattisgarhi	poet	0	2	1	3
chattisgarhi	police	0	2	1	3
chattisgarhi	politician	1	2	0	3
chattisgarhi	chef	0	3	0	3
chattisgarhi	priest	0	2	1	3
chattisgarhi	rich	0	2	1	3
chattisgarhi	scientist	0	2	1	3
chattisgarhi	short	0	2	1	3
chattisgarhi	supervisor	0	0	3	3
chattisgarhi	chemistry	0	3	0	3
chattisgarhi	vegetarian	1	2	0	3
chattisgarhi	cleaner	0	3	0	3
chattisgarhi	commander	0	3	0	3
chattisgarhi	consultant	0	3	0	3
chattisgarhi	cook	0	3	0	3
chattisgarhi	covered	0	3	0	3
chattisgarhi	cricketer	0	3	0	3
chattisgarhi	criminal	0	3	0	3
chattisgarhi	dance	0	3	0	3
chattisgarhi	dancer	0	3	0	3
chattisgarhi	designer	0	3	0	3
chattisgarhi	director	0	3	0	3
chattisgarhi	doctor	0	3	0	3
chattisgarhi	economist	0	3	0	3
chattisgarhi	educated	0	3	0	3
chattisgarhi	electronics	0	3	0	3
chattisgarhi	emotional	0	3	0	3
chattisgarhi	engineer	0	3	0	3
chattisgarhi	farmer	0	3	0	3
chattisgarhi	finance	0	3	0	3
chattisgarhi	historian	0	3	0	3
chattisgarhi	judge	0	3	0	3
chattisgarhi	law	0	3	0	3
chattisgarhi	lawyer	0	3	0	3
chattisgarhi	management	0	3	0	3
chattisgarhi	manager	0	3	0	3
chattisgarhi	model	0	3	0	3
chattisgarhi	music	0	3	0	3
chattisgarhi	photographer	0	3	0	3
chattisgarhi	physician	0	3	0	3
chattisgarhi	physics	0	3	0	3
chattisgarhi	pilot	0	3	0	3
chattisgarhi	policeman	0	3	0	3
chattisgarhi	politics	0	3	0	3
chattisgarhi	poor	0	3	0	3
chattisgarhi	powerful	0	3	0	3
chattisgarhi	producer	0	3	0	3
chattisgarhi	professor	0	3	0	3
chattisgarhi	rapist	0	3	0	3
chattisgarhi	respected	0	3	0	3
chattisgarhi	science	0	3	0	3
chattisgarhi	secretary	0	3	0	3
chattisgarhi	singer	0	3	0	3
chattisgarhi	smart	0	3	0	3
chattisgarhi	soldier	0	3	0	3
chattisgarhi	spicy	0	3	0	3
chattisgarhi	strong	0	3	0	3
chattisgarhi	successful	0	3	0	3
chattisgarhi	teacher	0	3	0	3
chattisgarhi	technology	0	3	0	3
chattisgarhi	thin	0	3	0	3
chattisgarhi	travel	0	3	0	3
chattisgarhi	treasurer	0	3	0	3
chattisgarhi	violent	0	3	0	3
chattisgarhi	writer	0	3	0	3
goan	accountant	0	3	0	3
goan	analyst	0	3	0	3
goan	angry	0	3	0	3
goan	army	0	3	0	3
goan	art	0	3	0	3
goan	artist	0	3	0	3
goan	assistant	0	3	0	3
goan	attorney	0	3	0	3
goan	banker	0	3	0	3
goan	beautiful	0	3	0	3
goan	calm	0	3	0	3
goan	ceo	0	3	0	3
goan	academic	1	2	0	3
goan	actor	0	2	1	3
goan	architect	0	2	1	3
goan	auditor	0	2	1	3
goan	author	0	2	1	3
goan	business	0	1	2	3
goan	chef	0	2	1	3
goan	cleaner	0	2	1	3
goan	clerk	0	3	0	3
goan	coach	0	1	2	3
goan	commander	1	2	0	3
goan	composer	0	2	1	3
goan	consultant	0	2	1	3
goan	director	0	2	1	3
goan	doctor	0	2	1	3
goan	economist	0	1	2	3
goan	educated	1	2	0	3
goan	finance	0	2	1	3
goan	historian	0	2	1	3
goan	judge	0	2	1	3
goan	management	0	2	1	3
goan	manager	0	2	1	3
goan	model	0	2	1	3
goan	comedian	0	3	0	3
goan	politics	1	2	0	3
goan	smart	0	2	1	3
goan	cook	0	3	0	3
goan	covered	0	3	0	3
goan	cricketer	0	3	0	3
goan	criminal	0	3	0	3
goan	dance	0	3	0	3
goan	dancer	0	3	0	3
goan	designer	0	3	0	3
goan	diplomat	0	3	0	3
goan	driver	0	3	0	3
goan	editor	0	3	0	3
goan	english	2	1	3	6
goan	electronics	0	3	0	3
goan	emotional	0	3	0	3
goan	engineer	0	3	0	3
goan	farmer	0	3	0	3
goan	guard	0	3	0	3
goan	handsome	0	3	0	3
goan	history	0	3	0	3
goan	journalist	0	3	0	3
goan	kind	0	3	0	3
goan	law	0	3	0	3
goan	lawyer	0	3	0	3
goan	music	0	3	0	3
goan	musician	0	3	0	3
goan	painter	0	3	0	3
goan	pandit	0	3	0	3
goan	photographer	0	3	0	3
goan	physician	0	3	0	3
goan	physics	0	3	0	3
goan	pilot	0	3	0	3
goan	poet	0	3	0	3
goan	police	0	3	0	3
goan	policeman	0	3	0	3
goan	politician	0	3	0	3
goan	poor	0	3	0	3
goan	powerful	0	3	0	3
goan	priest	0	3	0	3
goan	producer	0	3	0	3
goan	professor	0	3	0	3
goan	psychologist	0	3	0	3
goan	respected	0	3	0	3
goan	rich	0	3	0	3
goan	science	0	3	0	3
goan	scientist	0	3	0	3
goan	secretary	0	3	0	3
goan	short	0	3	0	3
goan	singer	0	3	0	3
goan	strong	0	3	0	3
goan	successful	0	3	0	3
goan	teacher	0	3	0	3
goan	technology	0	3	0	3
goan	thin	0	3	0	3
goan	travel	0	3	0	3
goan	treasurer	0	3	0	3
goan	violent	0	3	0	3
goan	weak	0	3	0	3
goan	writer	0	3	0	3
gujarati	angry	0	3	0	3
gujarati	architect	0	3	0	3
gujarati	army	0	3	0	3
gujarati	artist	0	3	0	3
gujarati	assistant	0	3	0	3
gujarati	astronaut	0	3	0	3
gujarati	athlete	0	3	0	3
gujarati	auditor	0	3	0	3
gujarati	art	2	1	3	6
gujarati	author	0	3	0	3
gujarati	baker	0	3	0	3
gujarati	biology	0	3	0	3
gujarati	boxer	0	3	0	3
gujarati	brave	0	3	0	3
gujarati	calm	0	3	0	3
gujarati	carpenter	0	3	0	3
gujarati	chemistry	0	3	0	3
gujarati	cleaner	0	3	0	3
gujarati	clerk	0	3	0	3
gujarati	coach	0	3	0	3
gujarati	cook	2	4	0	6
gujarati	colourful	0	3	0	3
gujarati	commander	0	3	0	3
gujarati	academic	1	2	0	3
gujarati	accountant	1	2	0	3
gujarati	actor	1	2	0	3
gujarati	analyst	1	2	0	3
gujarati	consultant	0	3	0	3
gujarati	attorney	0	1	2	3
gujarati	banker	1	2	0	3
gujarati	barber	0	2	1	3
gujarati	beautiful	1	2	0	3
gujarati	broker	1	2	0	3
gujarati	business	1	1	1	3
gujarati	caring	1	2	0	3
gujarati	cashier	1	2	0	3
gujarati	ceo	1	2	0	3
gujarati	chef	1	2	0	3
gujarati	comedian	1	1	1	3
gujarati	composer	1	2	0	3
gujarati	dance	2	1	3	6
gujarati	courageous	0	2	1	3
gujarati	designer	0	2	1	3
gujarati	director	1	2	0	3
gujarati	driver	1	2	0	3
gujarati	economist	0	2	1	3
gujarati	educated	0	2	1	3
gujarati	emotional	1	1	1	3
gujarati	covered	0	3	0	3
gujarati	fisherman	1	2	0	3
gujarati	golfer	0	2	1	3
gujarati	guitarist	0	2	1	3
gujarati	historian	0	2	1	3
gujarati	history	0	1	2	3
gujarati	judge	0	2	1	3
gujarati	law	1	2	0	3
gujarati	librarian	0	2	1	3
gujarati	management	0	2	1	3
gujarati	manager	1	2	0	3
gujarati	mathematician	0	2	1	3
gujarati	model	0	1	2	3
gujarati	music	1	1	1	3
gujarati	musician	1	2	0	3
gujarati	painter	0	1	2	3
gujarati	pandit	1	1	1	3
gujarati	photographer	0	2	1	3
gujarati	poet	0	2	1	3
gujarati	police	0	2	1	3
gujarati	cricketer	0	3	0	3
gujarati	priest	1	2	0	3
gujarati	producer	1	2	0	3
gujarati	psychologist	0	1	2	3
gujarati	rich	1	2	0	3
gujarati	singer	1	2	0	3
gujarati	smart	1	2	0	3
gujarati	spicy	1	2	0	3
gujarati	statistics	1	2	0	3
gujarati	criminal	0	3	0	3
gujarati	tailor	1	1	1	3
gujarati	travel	1	2	0	3
gujarati	treasurer	1	2	0	3
gujarati	vegetarian	1	1	1	3
gujarati	dancer	3	3	0	6
gujarati	dentist	0	3	0	3
gujarati	detective	0	3	0	3
gujarati	diplomat	0	3	0	3
gujarati	doctor	0	3	0	3
gujarati	dumb	0	3	0	3
gujarati	editor	0	3	0	3
gujarati	electronics	0	3	0	3
gujarati	engineer	0	3	0	3
gujarati	english	0	3	0	3
gujarati	fancy	0	3	0	3
gujarati	farmer	0	3	0	3
gujarati	fat	0	3	0	3
gujarati	finance	0	3	0	3
gujarati	guard	0	3	0	3
gujarati	handsome	0	3	0	3
gujarati	hated	0	3	0	3
gujarati	helpless	0	3	0	3
gujarati	humanities	0	3	0	3
gujarati	journalist	0	3	0	3
gujarati	labourer	0	3	0	3
gujarati	lawyer	0	3	0	3
gujarati	lowly	0	3	0	3
gujarati	maths	0	3	0	3
gujarati	mechanic	0	3	0	3
gujarati	nurse	0	3	0	3
gujarati	physician	0	3	0	3
gujarati	physics	0	3	0	3
gujarati	pilot	0	3	0	3
gujarati	policeman	0	3	0	3
gujarati	politician	0	3	0	3
gujarati	kind	2	0	4	6
gujarati	poor	0	3	0	3
gujarati	powerful	0	3	0	3
gujarati	professor	0	3	0	3
gujarati	protective	0	3	0	3
gujarati	rapist	0	3	0	3
gujarati	respected	0	3	0	3
gujarati	politics	2	1	3	6
gujarati	ruthless	0	3	0	3
gujarati	science	0	3	0	3
gujarati	scientist	0	3	0	3
gujarati	secretary	0	3	0	3
gujarati	short	0	3	0	3
gujarati	sociologist	0	3	0	3
gujarati	soldier	0	3	0	3
gujarati	strong	0	3	0	3
gujarati	successful	2	1	3	6
gujarati	supervisor	0	3	0	3
gujarati	teacher	0	3	0	3
gujarati	technology	0	3	0	3
gujarati	thin	0	3	0	3
gujarati	ugly	0	3	0	3
gujarati	umpire	0	3	0	3
gujarati	violent	0	3	0	3
gujarati	weak	0	3	0	3
gujarati	writer	0	3	0	3
haryanvi	academic	0	3	0	3
haryanvi	analyst	0	3	0	3
haryanvi	artist	0	3	0	3
haryanvi	athlete	2	4	0	6
haryanvi	beautiful	0	3	0	3
haryanvi	biology	0	3	0	3
haryanvi	calm	0	3	0	3
haryanvi	chef	0	3	0	3
haryanvi	coach	0	3	0	3
haryanvi	comedian	0	3	0	3
haryanvi	covered	0	3	0	3
haryanvi	actor	1	2	0	3
haryanvi	army	1	1	1	3
haryanvi	art	1	2	0	3
haryanvi	assistant	0	2	1	3
haryanvi	author	0	2	1	3
haryanvi	business	1	2	0	3
haryanvi	ceo	1	2	0	3
haryanvi	commander	1	2	0	3
haryanvi	consultant	0	2	1	3
haryanvi	cricketer	1	2	0	3
haryanvi	criminal	0	2	1	3
haryanvi	dance	1	2	0	3
haryanvi	dancer	1	2	0	3
haryanvi	english	1	2	0	3
haryanvi	farmer	1	2	0	3
haryanvi	guard	1	2	0	3
haryanvi	judge	0	2	1	3
haryanvi	management	0	2	1	3
haryanvi	model	1	2	0	3
haryanvi	driver	2	4	0	6
haryanvi	police	1	2	0	3
haryanvi	politician	1	2	0	3
haryanvi	powerful	1	2	0	3
haryanvi	science	0	2	1	3
haryanvi	scientist	0	2	1	3
haryanvi	singer	1	2	0	3
haryanvi	designer	0	3	0	3
haryanvi	strong	1	2	0	3
haryanvi	treasurer	0	1	2	3
haryanvi	violent	0	2	1	3
haryanvi	director	0	3	0	3
haryanvi	doctor	0	3	0	3
haryanvi	editor	0	3	0	3
haryanvi	emotional	0	3	0	3
haryanvi	engineer	0	3	0	3
haryanvi	fancy	0	3	0	3
haryanvi	finance	0	3	0	3
haryanvi	history	0	3	0	3
haryanvi	journalist	0	3	0	3
haryanvi	kind	0	3	0	3
haryanvi	law	0	3	0	3
haryanvi	lawyer	0	3	0	3
haryanvi	manager	0	3	0	3
haryanvi	nurse	0	3	0	3
haryanvi	pandit	0	3	0	3
haryanvi	physician	0	3	0	3
haryanvi	pilot	0	3	0	3
haryanvi	poet	0	3	0	3
haryanvi	politics	0	3	0	3
haryanvi	poor	0	3	0	3
haryanvi	music	2	1	3	6
haryanvi	producer	0	3	0	3
haryanvi	professor	0	3	0	3
haryanvi	rich	0	3	0	3
haryanvi	secretary	0	3	0	3
haryanvi	short	0	3	0	3
haryanvi	smart	0	3	0	3
