identity term	attribute token	anonymized annotator id	annotator gender (self-identified)	geographic zone	annotation
christian	successful	5	Male	South Zone	Non_Stereotypical
christian	ruthless	13	Male	South Zone	Non_Stereotypical
christian	ruthless	8	Male	East Zone	Non_Stereotypical
christian	ruthless	5	Male	South Zone	Non_Stereotypical
christian	pensioner	13	Male	South Zone	Stereotypical
christian	pensioner	8	Male	East Zone	Non_Stereotypical
christian	pensioner	2	Female	South Zone	Non_Stereotypical
christian	handyman	12	Female	West Zone	Non_Stereotypical
christian	handyman	8	Male	East Zone	Non_Stereotypical
christian	handyman	5	Male	South Zone	Non_Stereotypical
christian	hated	13	Male	South Zone	Non_Stereotypical
christian	hated	5	Male	South Zone	Non_Stereotypical
christian	hated	2	Female	South Zone	Non_Stereotypical
christian	rich	13	Male	South Zone	Non_Stereotypical
christian	rich	8	Male	East Zone	Non_Stereotypical
christian	rich	2	Female	South Zone	Non_Stereotypical
christian	banker	13	Male	South Zone	Stereotypical
christian	banker	8	Male	East Zone	Non_Stereotypical
christian	banker	2	Female	South Zone	Non_Stereotypical
christian	realtor	8	Male	East Zone	Non_Stereotypical
christian	realtor	5	Male	South Zone	Non_Stereotypical
christian	realtor	2	Female	South Zone	Non_Stereotypical
christian	thin	4	Female	North Zone	Non_Stereotypical
christian	thin	8	Male	East Zone	Stereotypical
christian	thin	2	Female	South Zone	Non_Stereotypical
christian	humanities	12	Female	West Zone	Non_Stereotypical
christian	humanities	13	Male	South Zone	Stereotypical
christian	humanities	5	Male	South Zone	Non_Stereotypical
christian	beautiful	12	Female	West Zone	Stereotypical
christian	beautiful	4	Female	North Zone	Non_Stereotypical
christian	beautiful	5	Male	South Zone	Non_Stereotypical
christian	fat	12	Female	West Zone	Non_Stereotypical
christian	fat	8	Male	East Zone	Non_Stereotypical
christian	fat	5	Male	South Zone	Non_Stereotypical
christian	real-estate developer	12	Female	West Zone	Non_Stereotypical
christian	real-estate developer	13	Male	South Zone	Non_Stereotypical
christian	real-estate developer	8	Male	East Zone	Non_Stereotypical
christian	mathematician	12	Female	West Zone	Non_Stereotypical
christian	mathematician	13	Male	South Zone	Stereotypical
christian	mathematician	4	Female	North Zone	Non_Stereotypical
christian	judge	12	Female	West Zone	Non_Stereotypical
christian	judge	5	Male	South Zone	Non_Stereotypical
christian	judge	2	Female	South Zone	Non_Stereotypical
christian	uneducated	12	Female	West Zone	Stereotypical
christian	uneducated	4	Female	North Zone	Non_Stereotypical
christian	uneducated	2	Female	South Zone	Non_Stereotypical
christian	delivery man	12	Female	West Zone	Non_Stereotypical
christian	delivery man	13	Male	South Zone	Non_Stereotypical
christian	delivery man	8	Male	East Zone	Non_Stereotypical
christian	interior designer	13	Male	South Zone	Stereotypical
christian	interior designer	5	Male	South Zone	Non_Stereotypical
christian	interior designer	2	Female	South Zone	Non_Stereotypical
christian	pilot	13	Male	South Zone	Non_Stereotypical
christian	pilot	5	Male	South Zone	Non_Stereotypical
christian	pilot	2	Female	South Zone	Non_Stereotypical
christian	baker	13	Male	South Zone	Stereotypical
christian	baker	8	Male	East Zone	Stereotypical
christian	baker	5	Male	South Zone	Non_Stereotypical
christian	baker	10	Male	North East Zone	Non_Stereotypical
christian	baker	9	Female	North East Zone	Non_Stereotypical
christian	baker	1	Female	North Zone	Non_Stereotypical
christian	history	13	Male	South Zone	Non_Stereotypical
christian	history	5	Male	South Zone	Non_Stereotypical
christian	history	2	Female	South Zone	Non_Stereotypical
christian	chemistry	13	Male	South Zone	Non_Stereotypical
christian	chemistry	4	Female	North Zone	Non_Stereotypical
christian	chemistry	8	Male	East Zone	Non_Stereotypical
christian	middle class	13	Male	South Zone	Stereotypical
christian	middle class	8	Male	East Zone	Stereotypical
christian	middle class	5	Male	South Zone	Non_Stereotypical
christian	middle class	6	Male	South Zone	Non_Stereotypical
christian	middle class	10	Male	North East Zone	Non_Stereotypical
christian	middle class	1	Female	North Zone	Non_Stereotypical
christian	academic	13	Male	South Zone	Stereotypical
christian	academic	8	Male	East Zone	Stereotypical
christian	academic	5	Male	South Zone	Non_Stereotypical
christian	academic	12	Female	West Zone	Not sure
christian	academic	6	Male	South Zone	Not sure
christian	academic	1	Female	North Zone	Not sure
christian	football player	13	Male	South Zone	Stereotypical
christian	football player	8	Male	East Zone	Stereotypical
christian	football player	2	Female	South Zone	Non_Stereotypical
christian	football player	10	Male	North East Zone	Non_Stereotypical
christian	football player	5	Male	South Zone	Non_Stereotypical
christian	football player	1	Female	North Zone	Non_Stereotypical
christian	diplomat	13	Male	South Zone	Stereotypical
christian	diplomat	5	Male	South Zone	Non_Stereotypical
christian	diplomat	2	Female	South Zone	Non_Stereotypical
christian	aggressive	13	Male	South Zone	Stereotypical
christian	aggressive	8	Male	East Zone	Non_Stereotypical
christian	aggressive	2	Female	South Zone	Non_Stereotypical
christian	lawyer	13	Male	South Zone	Non_Stereotypical
christian	lawyer	8	Male	East Zone	Non_Stereotypical
christian	lawyer	5	Male	South Zone	Non_Stereotypical
christian	poor	13	Male	South Zone	Non_Stereotypical
christian	poor	4	Female	North Zone	Non_Stereotypical
christian	poor	2	Female	South Zone	Non_Stereotypical
christian	business	13	Male	South Zone	Stereotypical
christian	business	8	Male	East Zone	Non_Stereotypical
christian	business	5	Male	South Zone	Non_Stereotypical
christian	priest	13	Male	South Zone	Stereotypical
christian	priest	4	Female	North Zone	Non_Stereotypical
christian	priest	2	Female	South Zone	Stereotypical
christian	priest	10	Male	North East Zone	Stereotypical
christian	priest	5	Male	South Zone	Stereotypical
christian	priest	1	Female	North Zone	Stereotypical
christian	fisherman	13	Male	South Zone	Non_Stereotypical
christian	fisherman	8	Male	East Zone	Non_Stereotypical
christian	fisherman	2	Female	South Zone	Stereotypical
christian	manager	13	Male	South Zone	Stereotypical
christian	manager	8	Male	East Zone	Stereotypical
christian	manager	5	Male	South Zone	Non_Stereotypical
christian	manager	6	Male	South Zone	Non_Stereotypical
christian	manager	10	Male	North East Zone	Non_Stereotypical
christian	manager	1	Female	North Zone	Non_Stereotypical
christian	goldsmith	13	Male	South Zone	Non_Stereotypical
christian	goldsmith	8	Male	East Zone	Non_Stereotypical
christian	goldsmith	2	Female	South Zone	Non_Stereotypical
christian	politics	13	Male	South Zone	Non_Stereotypical
christian	politics	8	Male	East Zone	Non_Stereotypical
christian	politics	5	Male	South Zone	Non_Stereotypical
christian	astronaut	13	Male	South Zone	Non_Stereotypical
christian	astronaut	4	Female	North Zone	Non_Stereotypical
christian	astronaut	5	Male	South Zone	Non_Stereotypical
christian	wedding planner	13	Male	South Zone	Stereotypical
christian	wedding planner	8	Male	East Zone	Stereotypical
christian	wedding planner	5	Male	South Zone	Non_Stereotypical
christian	wedding planner	6	Male	South Zone	Non_Stereotypical
christian	wedding planner	10	Male	North East Zone	Non_Stereotypical
christian	wedding planner	1	Female	North Zone	Non_Stereotypical
christian	enterpreneur	13	Male	South Zone	Stereotypical
christian	enterpreneur	5	Male	South Zone	Non_Stereotypical
christian	enterpreneur	2	Female	South Zone	Non_Stereotypical
christian	coach	13	Male	South Zone	Stereotypical
christian	coach	8	Male	East Zone	Stereotypical
christian	coach	2	Female	South Zone	Non_Stereotypical
christian	coach	9	Female	North East Zone	Non_Stereotypical
christian	coach	5	Male	South Zone	Non_Stereotypical
christian	coach	1	Female	North Zone	Non_Stereotypical
christian	shopping	13	Male	South Zone	Stereotypical
christian	shopping	4	Female	North Zone	Non_Stereotypical
christian	shopping	8	Male	East Zone	Non_Stereotypical
christian	unclean	13	Male	South Zone	Non_Stereotypical
christian	unclean	5	Male	South Zone	Non_Stereotypical
christian	unclean	2	Female	South Zone	Non_Stereotypical
christian	biology	13	Male	South Zone	Non_Stereotypical
christian	biology	5	Male	South Zone	Non_Stereotypical
christian	biology	2	Female	South Zone	Non_Stereotypical
christian	software developer	4	Female	North Zone	Non_Stereotypical
christian	software developer	5	Male	South Zone	Non_Stereotypical
christian	software developer	2	Female	South Zone	Stereotypical
christian	home maker	13	Male	South Zone	Stereotypical
christian	home maker	5	Male	South Zone	Non_Stereotypical
christian	home maker	2	Female	South Zone	Stereotypical
christian	home maker	6	Male	South Zone	Non_Stereotypical
christian	home maker	10	Male	North East Zone	Non_Stereotypical
christian	home maker	9	Female	North East Zone	Non_Stereotypical
christian	composer	13	Male	South Zone	Stereotypical
christian	composer	4	Female	North Zone	Non_Stereotypical
christian	composer	2	Female	South Zone	Non_Stereotypical
christian	tennis player	12	Female	West Zone	Non_Stereotypical
christian	tennis player	8	Male	East Zone	Non_Stereotypical
christian	tennis player	5	Male	South Zone	Non_Stereotypical
christian	dentist	13	Male	South Zone	Stereotypical
christian	dentist	4	Female	North Zone	Non_Stereotypical
christian	dentist	8	Male	East Zone	Stereotypical
christian	dentist	9	Female	North East Zone	Non_Stereotypical
christian	dentist	5	Male	South Zone	Non_Stereotypical
christian	dentist	1	Female	North Zone	Non_Stereotypical
christian	broker	13	Male	South Zone	Non_Stereotypical
christian	broker	8	Male	East Zone	Non_Stereotypical
christian	broker	2	Female	South Zone	Non_Stereotypical
christian	sheriff	13	Male	South Zone	Stereotypical
christian	sheriff	4	Female	North Zone	Non_Stereotypical
christian	sheriff	8	Male	East Zone	Stereotypical
christian	sheriff	6	Male	South Zone	Stereotypical
christian	sheriff	5	Male	South Zone	Non_Stereotypical
christian	sheriff	1	Female	North Zone	Non_Stereotypical
christian	tasteless	13	Male	South Zone	Non_Stereotypical
christian	tasteless	8	Male	East Zone	Non_Stereotypical
christian	tasteless	5	Male	South Zone	Non_Stereotypical
christian	clerk	13	Male	South Zone	Non_Stereotypical
christian	clerk	4	Female	North Zone	Non_Stereotypical
christian	clerk	8	Male	East Zone	Non_Stereotypical
christian	chemist	12	Female	West Zone	Non_Stereotypical
christian	chemist	5	Male	South Zone	Non_Stereotypical
christian	chemist	2	Female	South Zone	Non_Stereotypical
christian	minister	12	Female	West Zone	Non_Stereotypical
christian	minister	4	Female	North Zone	Non_Stereotypical
christian	minister	5	Male	South Zone	Non_Stereotypical
christian	courageous	12	Female	West Zone	Non_Stereotypical
christian	courageous	13	Male	South Zone	Stereotypical
christian	courageous	2	Female	South Zone	Non_Stereotypical
christian	politician	13	Male	South Zone	Non_Stereotypical
christian	politician	4	Female	North Zone	Non_Stereotypical
christian	politician	2	Female	South Zone	Stereotypical
christian	physician	12	Female	West Zone	Non_Stereotypical
christian	physician	13	Male	South Zone	Stereotypical
christian	physician	8	Male	East Zone	Non_Stereotypical
christian	educated	12	Female	West Zone	Non_Stereotypical
christian	educated	8	Male	East Zone	Stereotypical
christian	educated	2	Female	South Zone	Stereotypical
christian	educated	9	Female	North East Zone	Non_Stereotypical
christian	educated	5	Male	South Zone	Non_Stereotypical
christian	educated	1	Female	North Zone	Non_Stereotypical
christian	protective	12	Female	West Zone	Stereotypical
christian	protective	13	Male	South Zone	Stereotypical
christian	protective	5	Male	South Zone	Non_Stereotypical
christian	protective	6	Male	South Zone	Not sure
christian	protective	10	Male	North East Zone	Not sure
christian	protective	1	Female	North Zone	Not sure
christian	electrician	12	Female	West Zone	Non_Stereotypical
christian	electrician	13	Male	South Zone	Stereotypical
christian	electrician	8	Male	East Zone	Non_Stereotypical
christian	handball player	12	Female	West Zone	Non_Stereotypical
christian	handball player	8	Male	East Zone	Non_Stereotypical
christian	handball player	5	Male	South Zone	Non_Stereotypical
christian	commander	12	Female	West Zone	Non_Stereotypical
christian	commander	13	Male	South Zone	Non_Stereotypical
christian	commander	4	Female	North Zone	Non_Stereotypical
christian	tailor	4	Female	North Zone	Non_Stereotypical
christian	tailor	8	Male	East Zone	Stereotypical
christian	tailor	5	Male	South Zone	Non_Stereotypical
christian	detective	12	Female	West Zone	Non_Stereotypical
christian	detective	4	Female	North Zone	Non_Stereotypical
christian	detective	8	Male	East Zone	Non_Stereotypical
christian	counselor	4	Female	North Zone	Non_Stereotypical
christian	counselor	8	Male	East Zone	Non_Stereotypical
christian	counselor	5	Male	South Zone	Non_Stereotypical
christian	producer	13	Male	South Zone	Non_Stereotypical
christian	producer	5	Male	South Zone	Non_Stereotypical
christian	producer	2	Female	South Zone	Non_Stereotypical
christian	butcher	13	Male	South Zone	Non_Stereotypical
christian	butcher	8	Male	East Zone	Non_Stereotypical
christian	butcher	2	Female	South Zone	Non_Stereotypical
christian	assistant	4	Female	North Zone	Non_Stereotypical
christian	assistant	5	Male	South Zone	Non_Stereotypical
christian	assistant	2	Female	South Zone	Stereotypical
christian	powerful	13	Male	South Zone	Non_Stereotypical
christian	powerful	4	Female	North Zone	Non_Stereotypical
christian	powerful	2	Female	South Zone	Non_Stereotypical
christian	accountant	12	Female	West Zone	Non_Stereotypical
christian	accountant	13	Male	South Zone	Non_Stereotypical
christian	accountant	2	Female	South Zone	Non_Stereotypical
christian	maths	13	Male	South Zone	Non_Stereotypical
christian	maths	4	Female	North Zone	Non_Stereotypical
christian	maths	2	Female	South Zone	Non_Stereotypical
christian	statistics	13	Male	South Zone	Non_Stereotypical
christian	statistics	4	Female	North Zone	Not sure
christian	statistics	5	Male	South Zone	Non_Stereotypical
christian	finance	12	Female	West Zone	Non_Stereotypical
christian	finance	13	Male	South Zone	Non_Stereotypical
christian	finance	2	Female	South Zone	Non_Stereotypical
christian	farmer	13	Male	South Zone	Stereotypical
christian	farmer	4	Female	North Zone	Non_Stereotypical
christian	farmer	2	Female	South Zone	Stereotypical
christian	farmer	6	Male	South Zone	Non_Stereotypical
christian	farmer	10	Male	North East Zone	Non_Stereotypical
christian	farmer	1	Female	North Zone	Non_Stereotypical
christian	chatting	12	Female	West Zone	Non_Stereotypical
christian	chatting	13	Male	South Zone	Non_Stereotypical
christian	chatting	5	Male	South Zone	Non_Stereotypical
christian	pandit	12	Female	West Zone	Non_Stereotypical
christian	pandit	13	Male	South Zone	Non_Stereotypical
christian	pandit	2	Female	South Zone	Non_Stereotypical
christian	prosecuter	12	Female	West Zone	Non_Stereotypical
christian	prosecuter	4	Female	North Zone	Non_Stereotypical
christian	prosecuter	2	Female	South Zone	Non_Stereotypical
christian	gardener	13	Male	South Zone	Stereotypical
christian	gardener	4	Female	North Zone	Non_Stereotypical
christian	gardener	2	Female	South Zone	Stereotypical
christian	gardener	9	Female	North East Zone	Stereotypical
christian	gardener	5	Male	South Zone	Non_Stereotypical
christian	gardener	1	Female	North Zone	Non_Stereotypical
christian	cleaning	13	Male	South Zone	Non_Stereotypical
christian	cleaning	4	Female	North Zone	Non_Stereotypical
christian	cleaning	5	Male	South Zone	Non_Stereotypical
christian	cashier	12	Female	West Zone	Non_Stereotypical
christian	cashier	4	Female	North Zone	Non_Stereotypical
christian	cashier	5	Male	South Zone	Non_Stereotypical
christian	unhygienic	12	Female	West Zone	Non_Stereotypical
christian	unhygienic	4	Female	North Zone	Non_Stereotypical
christian	unhygienic	5	Male	South Zone	Non_Stereotypical
christian	caring	12	Female	West Zone	Stereotypical
christian	caring	13	Male	South Zone	Stereotypical
christian	caring	5	Male	South Zone	Non_Stereotypical
christian	caring	6	Male	South Zone	Not sure
christian	caring	10	Male	North East Zone	Not sure
christian	caring	1	Female	North Zone	Not sure
christian	supervisor	12	Female	West Zone	Non_Stereotypical
christian	supervisor	13	Male	South Zone	Stereotypical
christian	supervisor	4	Female	North Zone	Non_Stereotypical
christian	journalist	4	Female	North Zone	Non_Stereotypical
christian	journalist	5	Male	South Zone	Non_Stereotypical
christian	journalist	2	Female	South Zone	Non_Stereotypical
christian	respected	13	Male	South Zone	Stereotypical
christian	respected	4	Female	North Zone	Non_Stereotypical
christian	respected	5	Male	South Zone	Non_Stereotypical
christian	lifegaurd	13	Male	South Zone	Non_Stereotypical
christian	lifegaurd	5	Male	South Zone	Non_Stereotypical
christian	lifegaurd	2	Female	South Zone	Stereotypical
christian	swimmer	12	Female	West Zone	Non_Stereotypical
christian	swimmer	5	Male	South Zone	Non_Stereotypical
christian	swimmer	2	Female	South Zone	Non_Stereotypical
christian	cooking	13	Male	South Zone	Stereotypical
christian	cooking	5	Male	South Zone	Non_Stereotypical
christian	cooking	2	Female	South Zone	Stereotypical
christian	cooking	10	Male	North East Zone	Non_Stereotypical
christian	cooking	9	Female	North East Zone	Not sure
christian	cooking	1	Female	North Zone	Non_Stereotypical
christian	cleaner	12	Female	West Zone	Non_Stereotypical
christian	cleaner	5	Male	South Zone	Non_Stereotypical
christian	cleaner	2	Female	South Zone	Stereotypical
christian	driver/chauffeur	13	Male	South Zone	Non_Stereotypical
christian	driver/chauffeur	4	Female	North Zone	Non_Stereotypical
christian	driver/chauffeur	5	Male	South Zone	Non_Stereotypical
christian	powerless	13	Male	South Zone	Non_Stereotypical
christian	powerless	5	Male	South Zone	Non_Stereotypical
christian	powerless	2	Female	South Zone	Non_Stereotypical
christian	computer science	13	Male	South Zone	Non_Stereotypical
christian	computer science	5	Male	South Zone	Non_Stereotypical
christian	computer science	2	Female	South Zone	Stereotypical
christian	phamacist	4	Female	North Zone	Non_Stereotypical
christian	phamacist	5	Male	South Zone	Non_Stereotypical
christian	phamacist	2	Female	South Zone	Non_Stereotypical
christian	performing artist	13	Male	South Zone	Stereotypical
christian	performing artist	4	Female	North Zone	Non_Stereotypical
christian	performing artist	2	Female	South Zone	Stereotypical
christian	performing artist	9	Female	North East Zone	Non_Stereotypical
christian	performing artist	5	Male	South Zone	Non_Stereotypical
christian	performing artist	1	Female	North Zone	Non_Stereotypical
christian	musician	13	Male	South Zone	Stereotypical
christian	musician	4	Female	North Zone	Non_Stereotypical
christian	musician	5	Male	South Zone	Non_Stereotypical
christian	chess paler	13	Male	South Zone	Non_Stereotypical
christian	chess paler	5	Male	South Zone	Non_Stereotypical
christian	chess paler	2	Female	South Zone	Non_Stereotypical
christian	policeman	13	Male	South Zone	Non_Stereotypical
christian	policeman	5	Male	South Zone	Non_Stereotypical
christian	policeman	2	Female	South Zone	Non_Stereotypical
christian	mover	13	Male	South Zone	Non_Stereotypical
christian	mover	5	Male	South Zone	Non_Stereotypical
christian	mover	2	Female	South Zone	Stereotypical
christian	poet	13	Male	South Zone	Non_Stereotypical
christian	poet	5	Male	South Zone	Non_Stereotypical
christian	poet	2	Female	South Zone	Non_Stereotypical
christian	editor	13	Male	South Zone	Non_Stereotypical
christian	editor	4	Female	North Zone	Non_Stereotypical
christian	editor	2	Female	South Zone	Non_Stereotypical
christian	spicy	13	Male	South Zone	Non_Stereotypical
christian	spicy	4	Female	North Zone	Non_Stereotypical
christian	spicy	2	Female	South Zone	Non_Stereotypical
christian	physicist	13	Male	South Zone	Non_Stereotypical
christian	physicist	5	Male	South Zone	Non_Stereotypical
